sequence_1,sequence_2,mode,gap_open,gap_extend,score
sp|P68871|HBB_HUMAN,sp|Q90486|HBB1_DANRE,global,-8,-0.2,422.0
sp|P68871|HBB_HUMAN,sp|Q90486|HBB1_DANRE,local,-8,-0.2,422.0
sp|P68871|HBB_HUMAN,sp|Q90486|HBB1_DANRE,global,-10,-0.5,419.0
sp|P68871|HBB_HUMAN,sp|Q90486|HBB1_DANRE,local,-10,-0.5,419.0
sp|P68871|HBB_HUMAN,sp|Q90486|HBB1_DANRE,global,-12,-1.0,417.0
sp|P68871|HBB_HUMAN,sp|Q90486|HBB1_DANRE,local,-12,-1.0,417.0
